code,name,iso_14224_code,mechanism,category,detection_methods,typical_indicators,recommended_actions,mtbf_hours
BEAR-WEAR-01,Bearing Wear — Drive End,VIB,fatigue,mechanical,vibration_analysis;temperature_monitoring;oil_analysis,vibration_velocity_mm_s;bearing_temperature_c;vibration_acceleration_g,replace_bearing;check_alignment;verify_lubrication,26000
SEAL-LEAK-01,Mechanical Seal Leakage,ELP,wear,mechanical,visual_inspection;pressure_monitoring;flow_measurement,seal_pressure_bar;leakage_rate_ml_min;flow_rate_m3h,replace_seal;check_shaft_runout;verify_alignment,18000
IMP-EROSION-01,Impeller Erosion,BRD,erosion,mechanical,vibration_analysis;performance_monitoring;visual_inspection,vibration_velocity_mm_s;differential_pressure_bar;flow_rate_m3h,replace_impeller;check_fluid_quality;inspect_casing,35000
VALVE-FAIL-01,Valve Failure — Stuck or Leaking,ELP,wear,mechanical,pressure_monitoring;flow_measurement;acoustic_emission,discharge_pressure_bar;flow_rate_m3h;valve_position_pct,replace_valve;clean_valve_seat;check_actuator,22000
FILTER-CLOG-01,Filter Clogging,PLU,contamination,mechanical,differential_pressure_monitoring;visual_inspection,differential_pressure_bar;discharge_pressure_bar;flow_rate_m3h,replace_filter;clean_filter;check_fluid_quality,4000
BELT-WEAR-01,Conveyor Belt Wear,BRD,wear,mechanical,visual_inspection;thickness_measurement;vibration_analysis,belt_speed_m_s;vibration_velocity_mm_s;motor_current_a,replace_belt;adjust_tension;check_rollers,15000
MOTOR-OVERHEAT-01,Motor Overheating,OHE,overheating,electrical,temperature_monitoring;current_monitoring;thermography,winding_temperature_c;motor_current_a;bearing_temperature_c,check_ventilation;verify_load;inspect_windings;check_bearings,30000
INSULATION-FAIL-01,Winding Insulation Failure,ELF,degradation,electrical,insulation_resistance_test;partial_discharge_test;thermography,insulation_resistance_mohm;winding_temperature_c;motor_current_a,rewind_motor;replace_motor;check_supply_voltage,50000
FOULING-01,Heat Exchanger Fouling,PLU,contamination,process,performance_monitoring;pressure_drop_analysis;temperature_monitoring,differential_pressure_bar;outlet_temperature_c;flow_rate_m3h,clean_exchanger;chemical_flush;inspect_tubes,12000
GASKET-FAIL-01,Gasket Failure,ELP,degradation,mechanical,visual_inspection;pressure_test;leak_detection,seal_pressure_bar;leakage_rate_ml_min,replace_gasket;inspect_flange_faces;verify_bolt_torque,20000
